"site","plotID","warming","treatment","year","date","recorder","writer","name","value"
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",25
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",38
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",2
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",0
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",2
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",60
"Skjellingahaugen","Skj_7_2","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",18
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","vegetation_cover",75
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","total_bryophyte_cover",27
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","total_litter_cover",22
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","total_lichen_cover",5
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","total_bare_ground_cover",1
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","total_poo_cover",0
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","total_rock_cover",1
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","total_fungus_cover",0
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","vegetation_height_mean",12
"Skjellingahaugen","Skj_7_1","C","C",2018,2018-08-21,"Silje Ostmann","Silje Ostmann","moss_depth_mean",33
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",80
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",28
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",31
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",1
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",0
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",45
"Skjellingahaugen","Skj_6_2","C","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",12
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",90
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",21
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",26
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",1
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",0
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",48
"Skjellingahaugen","Skj_7_3","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",22
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",75
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",45
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",27
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",1
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",0
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",48
"Skjellingahaugen","Skj_6_1","C","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",10
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",80
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",44
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",24
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",1
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",0
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",52
"Skjellingahaugen","Skj_6_3","C","N",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",15
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",75
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",29
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",41
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",1
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",1
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",65
"Skjellingahaugen","Skj_6_4","W","C",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",20
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",55
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",47
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",19
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",0
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",1
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",1
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",40
"Skjellingahaugen","Skj_2_4","C","R",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",15
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",90
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",19
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",36
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",1
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",1
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",52
"Skjellingahaugen","Skj_2_5","C","N",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",10
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",75
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",44
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",23
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",6
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",0
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",58
"Skjellingahaugen","Skj_6_5","W","R",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",12
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",90
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",26
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",30
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",0
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",0
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",52
"Skjellingahaugen","Skj_2_6","C","E",2018,2018-08-20,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",20
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_cover",85
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bryophyte_cover",22
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_litter_cover",29
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_lichen_cover",11
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_bare_ground_cover",0
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_poo_cover",0
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_rock_cover",0
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","total_fungus_cover",0
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","vegetation_height_mean",60
"Skjellingahaugen","Skj_6_6","W","E",2018,2018-08-21,"Siri Lie Olsen","Siri Lie Olsen","moss_depth_mean",15
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","vegetation_cover",85
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_bryophyte_cover",21
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_litter_cover",14
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_lichen_cover",1
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_bare_ground_cover",0
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_poo_cover",0
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_rock_cover",1
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_fungus_cover",0
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","vegetation_height_mean",28
"Skjellingahaugen","Skj_5_4","W","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","moss_depth_mean",4
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","vegetation_cover",82
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","total_bryophyte_cover",36
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","total_litter_cover",15
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","total_lichen_cover",1
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","total_bare_ground_cover",3
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","total_poo_cover",0
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","total_rock_cover",1
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","total_fungus_cover",0
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","vegetation_height_mean",24
"Skjellingahaugen","Skj_5_1","C","E",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya & Sherry Young","moss_depth_mean",9
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","vegetation_cover",85
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","total_bryophyte_cover",19
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","total_litter_cover",13
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","total_lichen_cover",1
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","total_bare_ground_cover",9
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","total_poo_cover",0
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","total_rock_cover",0
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","total_fungus_cover",0
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","vegetation_height_mean",25
"Skjellingahaugen","Skj_5_3","C","N",2018,2018-08-20,"Silje Ostmann","Sherry Young","moss_depth_mean",18
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","vegetation_cover",94
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","total_bryophyte_cover",23
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","total_litter_cover",30
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","total_lichen_cover",0
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","total_bare_ground_cover",1
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","total_poo_cover",0
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","total_rock_cover",0
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","total_fungus_cover",0
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","vegetation_height_mean",56
"Skjellingahaugen","Skj_5_2","C","C",2018,2018-08-20,"Sherry Young","Silje Ostmann","moss_depth_mean",18
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","vegetation_cover",85
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","total_bryophyte_cover",11
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","total_litter_cover",15
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","total_lichen_cover",1
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","total_bare_ground_cover",1
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","total_poo_cover",0
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","total_rock_cover",0
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","total_fungus_cover",0
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","vegetation_height_mean",35
"Skjellingahaugen","Skj_5_5","W","N",2018,2018-08-21,"Ragnhild Gya & Sherry Young","Ragnhild Gya & Sherry Young","moss_depth_mean",4
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","vegetation_cover",87
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_bryophyte_cover",28
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_litter_cover",21
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_lichen_cover",1
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_bare_ground_cover",0
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_poo_cover",0
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_rock_cover",0
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","total_fungus_cover",0
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","vegetation_height_mean",30
"Skjellingahaugen","Skj_5_6","W","C",2018,2018-08-21,"Ragnhild Gya","Ragnhild Gya","moss_depth_mean",5
"Skjellingahaugen","Skj_4_2","W","C",2018,2018-08-18,"Ragnhild Gya","Sherry Young","vegetation_cover",87
"Skjellingahaugen","Skj_4_2","W","C",2018,2018-08-18,"Ragnhild Gya","Sherry Young","total_bryophyte_cover",45
"Skjellingahaugen","Skj_4_2","W","C",2018,2018-08-18,"Ragnhild Gya","Sherry Young","total_litter_cover",11
"Skjellingahaugen","Skj_4_2","W","C",2018,2018-08-18,"Ragnhild Gya","Sherry Young","total_lichen_cover",6
"Skjellingahaugen","Skj_4_2","W","C",2018,2018-08-18,"Ragnhild Gya","Sherry Young","total_bare_ground_cover",1
"Skjellingahaugen","Skj_4_2","W","C",2018,2018-08-18,"Ragnhild Gya","Sherry Young","total_poo_cover",0
"Skjellingahaugen","Skj_4_2","W","C",2018,2018-08-18,"Ragnhild Gya","Sherry Young","total_rock_cover",0
